Date,Close
1/2/2018,49.84
1/3/2018,53.12
1/4/2018,53.4
1/5/2018,53.85
1/8/2018,55.5
1/9/2018,55.49
1/10/2018,55.92
1/11/2018,56.02
1/12/2018,55.75
1/16/2018,55.03
1/17/2018,56.18
1/18/2018,56.11
1/19/2018,57.53
1/22/2018,58.42
1/23/2018,59.73
1/24/2018,58.95
1/25/2018,59.09
1/26/2018,60.83
1/29/2018,61.71
1/30/2018,60.68
1/31/2018,61.45
2/1/2018,60.13
2/2/2018,58.38
2/5/2018,53.43
2/6/2018,56.4
2/7/2018,57.2
2/8/2018,54.38
2/9/2018,58.02
2/12/2018,57.01
2/13/2018,58.16
2/14/2018,60.36
2/15/2018,61.63
2/16/2018,60.96
2/20/2018,62.27
2/21/2018,60.38
2/22/2018,60.54
2/23/2018,61.48
2/26/2018,61.65
2/27/2018,61.52
2/28/2018,60.5
3/1/2018,58.05
3/2/2018,59.14
3/5/2018,58.91
3/6/2018,60.54
3/7/2018,60.46
3/8/2018,60.3
3/9/2018,61.33
3/12/2018,62.44
3/13/2018,61.93
3/14/2018,62.19
3/15/2018,62.34
3/16/2018,62.62
3/19/2018,60.25
3/20/2018,62.4
3/21/2018,62.14
3/22/2018,60.46
3/23/2018,58.24
3/26/2018,61.12
3/27/2018,56.38
3/28/2018,55.34
3/29/2018,57.9
4/2/2018,55.26
4/3/2018,56.34
4/4/2018,56.56
4/5/2018,55.35
4/6/2018,53.56
4/9/2018,53.85
4/10/2018,56.98
4/11/2018,56.56
4/12/2018,58.65
4/13/2018,57.88
4/16/2018,57.87
4/17/2018,59.39
4/18/2018,59.09
4/19/2018,57.26
4/20/2018,57.18
4/23/2018,55.97
4/24/2018,55.3
4/25/2018,54.17
4/26/2018,56.31
4/27/2018,56.58
4/30/2018,56.23
5/1/2018,56.79
5/2/2018,56.58
5/3/2018,58.25
5/4/2018,59.77
5/7/2018,62.17
5/8/2018,62.6
5/9/2018,63.95
5/10/2018,65.03
5/11/2018,63.63
5/14/2018,63.84
5/15/2018,61.39
5/16/2018,61.5
5/17/2018,61.93
5/18/2018,61.49
5/21/2018,61.06
5/22/2018,60.68
5/23/2018,61.89
5/24/2018,61.92
5/25/2018,62.32
5/29/2018,62.15
5/30/2018,63.25
5/31/2018,63.05
6/1/2018,64.41
6/4/2018,66.21
6/5/2018,66.27
6/6/2018,66.29
6/7/2018,65.72
6/8/2018,65.57
6/11/2018,65.16
6/12/2018,65.65
6/13/2018,65.6
6/14/2018,66.73
6/15/2018,66.32
6/18/2018,66.27
6/19/2018,65.04
6/20/2018,65.58
6/21/2018,64.28
6/22/2018,62.74
6/25/2018,59.78
6/26/2018,60.5
6/27/2018,58.93
6/28/2018,60.22
6/29/2018,59.23
7/2/2018,60.56
7/3/2018,59.21
7/5/2018,60.68
7/6/2018,61.83
7/9/2018,62.31
7/10/2018,63.31
7/11/2018,61.88
7/12/2018,62.81
7/13/2018,62.33
7/16/2018,62.05
7/17/2018,63.42
7/18/2018,62.93
7/19/2018,63.01
7/20/2018,62.72
7/23/2018,62.35
7/24/2018,62.18
7/25/2018,62.97
7/26/2018,63.71
7/27/2018,63.01
7/30/2018,61.03
7/31/2018,61.22
8/1/2018,61.62
8/2/2018,62.66
8/3/2018,63.03
8/6/2018,63.51
8/7/2018,64.24
8/8/2018,64.61
8/9/2018,64.11
8/10/2018,63.7
8/13/2018,64.03
8/14/2018,65.36
8/15/2018,64.77
8/16/2018,64.36
8/17/2018,61.21
8/20/2018,61.96
8/21/2018,63.33
8/22/2018,65.71
8/23/2018,66.71
8/24/2018,68.06
8/27/2018,68.97
8/28/2018,68.6
8/29/2018,69.62
8/30/2018,69.45
8/31/2018,70.17
9/4/2018,70.93
9/5/2018,69.61
9/6/2018,68.18
9/7/2018,67.97
9/10/2018,68.68
9/11/2018,68.2
9/12/2018,67.05
9/13/2018,67.83
9/14/2018,69.11
9/17/2018,68.48
9/18/2018,67.76
9/19/2018,68
9/20/2018,66.57
9/21/2018,65.86
9/24/2018,66.43
9/25/2018,67.1
9/26/2018,66.73
9/27/2018,66.85
9/28/2018,70.26
10/1/2018,72.34
10/2/2018,71.62
10/3/2018,71.68
10/4/2018,69.82
10/5/2018,67.47
10/8/2018,66.44
10/9/2018,66.39
10/10/2018,61.42
10/11/2018,58.78
10/12/2018,61.64
10/15/2018,58.85
10/16/2018,61.46
10/17/2018,60.77
10/18/2018,59.88
10/19/2018,57.29
10/22/2018,57.81
10/23/2018,55.27
10/24/2018,49.85
10/25/2018,51.96
10/26/2018,49.57
10/29/2018,46.41
10/30/2018,50.75
10/31/2018,52.71
11/1/2018,54.53
11/2/2018,53.73
11/5/2018,52.94
11/6/2018,52.77
11/7/2018,53.45
11/8/2018,51.5
11/9/2018,51.42
11/12/2018,47.39
11/13/2018,49.83
11/14/2018,49.3
11/15/2018,50.6
11/16/2018,41.11
11/19/2018,36.17
11/20/2018,37.27
11/21/2018,36.18
11/23/2018,36.25
11/26/2018,38.26
11/27/2018,38.43
11/28/2018,40.02
11/29/2018,39.34
11/30/2018,40.86
12/3/2018,42.51
12/4/2018,39.28
12/6/2018,39.57
12/7/2018,36.9
12/10/2018,37.97
12/11/2018,37.05
12/12/2018,37.23
12/13/2018,37.22
12/14/2018,36.61
12/17/2018,35.9
12/18/2018,36.74
12/19/2018,34.63
12/20/2018,33.78
12/21/2018,32.39
12/24/2018,31.77
12/26/2018,33.28
12/27/2018,32.79
12/28/2018,33.41
12/31/2018,33.38
1/2/2019,34.06
1/3/2019,32
1/4/2019,34.05
1/7/2019,35.85
1/8/2019,34.96
1/9/2019,35.65
1/10/2019,36.31
1/11/2019,37.21
1/14/2019,37.61
1/15/2019,37.47
1/16/2019,37.21
1/17/2019,37.93
1/18/2019,39.23
1/22/2019,37.19
1/23/2019,37.32
1/24/2019,39.46
1/25/2019,40.04
1/28/2019,34.5
1/29/2019,32.9
1/30/2019,34.35
1/31/2019,35.94
2/1/2019,36.18
2/4/2019,37.3
2/5/2019,37.49
2/6/2019,38.25
2/7/2019,36.85
2/8/2019,37.04
2/11/2019,36.61
2/12/2019,37.79
2/13/2019,38.22
2/14/2019,38.63
2/15/2019,39.34
2/19/2019,39.16
2/20/2019,39.64
2/21/2019,38.94
2/22/2019,39.8
2/25/2019,39.67
2/26/2019,39.28
2/27/2019,38.85
2/28/2019,38.57
3/1/2019,39.11
3/4/2019,39.2
3/5/2019,39.13
3/6/2019,38.01
3/7/2019,37.32
3/8/2019,37.66
3/11/2019,40.28
3/12/2019,40.63
3/13/2019,42.16
3/14/2019,41.39
3/15/2019,42.45
3/18/2019,42.24
3/19/2019,43.93
3/20/2019,43.6
3/21/2019,45.99
3/22/2019,44.38
3/25/2019,43.45
3/26/2019,44.22
3/27/2019,44.13
3/28/2019,44.31
3/29/2019,44.89
4/1/2019,45.57
4/2/2019,45.75
4/3/2019,47.16
4/4/2019,47.07
4/5/2019,47.74
4/8/2019,47.95
4/9/2019,47.32
4/10/2019,48.03
4/11/2019,47.89
4/12/2019,47.5
4/15/2019,46.18
4/16/2019,47.05
4/17/2019,46.82
4/18/2019,46.58
4/22/2019,47.12
4/23/2019,47.67
4/24/2019,47.79
4/25/2019,46.73
4/26/2019,44.52
4/29/2019,44.83
4/30/2019,45.25
5/1/2019,45.12
5/2/2019,45.8
5/3/2019,45.75
5/6/2019,44.96
5/7/2019,43.28
5/8/2019,43.48
5/9/2019,42.55
5/10/2019,42.21
5/13/2019,39.61
5/14/2019,40.51
5/15/2019,39.9
5/16/2019,40.05
5/17/2019,39.13
5/20/2019,37.94
5/21/2019,38.77
5/22/2019,38.05
5/23/2019,36.83
5/24/2019,36.29
5/28/2019,35.83
5/29/2019,35.09
5/30/2019,34.78
5/31/2019,33.87
6/3/2019,33.45
6/4/2019,35.75
6/5/2019,35.32
6/6/2019,35.95
6/7/2019,36.38
6/10/2019,37.11
6/11/2019,37.69
6/12/2019,36.55
6/13/2019,37.07
6/14/2019,36.16
6/17/2019,36.26
6/18/2019,38.22
6/19/2019,38.28
6/20/2019,38.53
6/21/2019,37.94
6/24/2019,38.17
6/25/2019,37.87
6/26/2019,39.82
6/27/2019,40.81
6/28/2019,41.06
7/1/2019,41.54
7/2/2019,40.56
7/3/2019,40.69
7/5/2019,40.06
7/8/2019,39.3
7/9/2019,39.33
7/10/2019,40.02
7/11/2019,41.57
7/12/2019,41.9
7/15/2019,41.82
7/16/2019,41.77
